Campaign,Ad Group,Keyword,Criterion Type,Final URL,Status
PI Verona Quartieri,AG - Verona Centro,idraulico verona centro,Phrase,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,idraulico verona centro,Exact,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,idraulico urgente verona centro,Phrase,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,idraulico urgente verona centro,Exact,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,pronto intervento idraulico verona centro,Phrase,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,pronto intervento idraulico verona centro,Exact,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,idraulico h24 verona centro,Phrase,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,idraulico h24 verona centro,Exact,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,emergenza idraulico verona centro,Phrase,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Verona Centro,emergenza idraulico verona centro,Exact,https://gala400.it/quartieri/idraulico-verona-centro.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,idraulico borgo trento,Phrase,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,idraulico borgo trento,Exact,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,idraulico urgente borgo trento,Phrase,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,idraulico urgente borgo trento,Exact,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,pronto intervento idraulico borgo trento,Phrase,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,pronto intervento idraulico borgo trento,Exact,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,idraulico h24 borgo trento,Phrase,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,idraulico h24 borgo trento,Exact,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,emergenza idraulico borgo trento,Phrase,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
PI Verona Quartieri,AG - Borgo Trento,emergenza idraulico borgo trento,Exact,https://gala400.it/quartieri/idraulico-borgo-trento.html,Enabled
