Campaign,Ad Group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
PI Verona Quartieri,AG - Verona Centro,Responsive search ad,https://gala400.it/quartieri/idraulico-verona-centro.html,urgente,veronacentro,Idraulico Urgente Verona Centro,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Verona Centro Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Verona Centro,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Verona Centro: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Verona Centro. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Verona Centro. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Verona Centro e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Borgo Trento,Responsive search ad,https://gala400.it/quartieri/idraulico-borgo-trento.html,urgente,borgotrento,Idraulico Urgente Borgo Trento,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Borgo Trento Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Borgo Trento,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Borgo Trento: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Borgo Trento. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Borgo Trento. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Borgo Trento e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Borgo Roma,Responsive search ad,https://gala400.it/quartieri/idraulico-borgo-roma.html,urgente,borgoroma,Idraulico Urgente Borgo Roma,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Borgo Roma Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Borgo Roma,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Borgo Roma: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Borgo Roma. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Borgo Roma. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Borgo Roma e provincia di Verona.,Enabled
PI Verona Quartieri,AG - San Zeno,Responsive search ad,https://gala400.it/quartieri/idraulico-san-zeno.html,urgente,sanzeno,Idraulico Urgente San Zeno,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico San Zeno Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale San Zeno,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a San Zeno: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a San Zeno. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e San Zeno. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura San Zeno e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Valdonega,Responsive search ad,https://gala400.it/quartieri/idraulico-valdonega.html,urgente,valdonega,Idraulico Urgente Valdonega,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Valdonega Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Valdonega,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Valdonega: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Valdonega. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Valdonega. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Valdonega e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Cittadella,Responsive search ad,https://gala400.it/quartieri/idraulico-cittadella.html,urgente,cittadella,Idraulico Urgente Cittadella,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Cittadella Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Cittadella,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Cittadella: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Cittadella. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Cittadella. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Cittadella e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Filippini,Responsive search ad,https://gala400.it/quartieri/idraulico-filippini.html,urgente,filippini,Idraulico Urgente Filippini,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Filippini Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Filippini,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Filippini: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Filippini. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Filippini. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Filippini e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Stadio,Responsive search ad,https://gala400.it/quartieri/idraulico-stadio.html,urgente,stadio,Idraulico Urgente Stadio,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Stadio Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Stadio,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Stadio: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Stadio. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Stadio. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Stadio e provincia di Verona.,Enabled
PI Verona Quartieri,AG - Quadrante Europa,Responsive search ad,https://gala400.it/quartieri/idraulico-quadrante-europa.html,urgente,quadranteeurop,Idraulico Urgente Quadrante Europa,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico Quadrante Europa Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale Quadrante Europa,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a Quadrante Europa: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a Quadrante Europa. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e Quadrante Europa. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura Quadrante Europa e provincia di Verona.,Enabled
PI Verona Quartieri,AG - San Michele,Responsive search ad,https://gala400.it/quartieri/idraulico-san-michele.html,urgente,sanmichele,Idraulico Urgente San Michele,Pronto Intervento H24,Arrivo ~20 Minuti,Chiama 349 420 8551,Idraulico San Michele Verona,Emergenza Acqua e Gas,Tecnico Disponibile Ora,Perdite e Caldaie,Gala 400 Verona,Preventivo Chiaro,-20% fino al 28/06,Servizio Locale San Michele,Intervento Immediato,Idraulico Professionale,SOS Idraulico Verona,Idraulico urgente a San Michele: pronto intervento h24. Chiama 349 420 8551 — arrivo rapido.,"Perdite acqua, caldaie, spurghi ed emergenze gas a San Michele. Preventivo prima dei lavori.","Gala 400: idraulico a Verona e San Michele. Tecnici qualificati, intervento anche notturno.",Emergenza idraulica? Chiama ora 349 420 8551. Copertura San Michele e provincia di Verona.,Enabled
